"qid","qname","question","type","sub","sq_id"
"QID18","TechEndorse_1","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","AI integration or AI Agent capabilities","1"
"QID18","TechEndorse_2","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Easy-to-use API","2"
"QID18","TechEndorse_3","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Robust and complete API","3"
"QID18","TechEndorse_4","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Customizable and manageable codebase","4"
"QID18","TechEndorse_5","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Reputation for quality","5"
"QID18","TechEndorse_6","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Connected to an open-source project","6"
"QID18","TechEndorse_7","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Good brand and public image","7"
"QID18","TechEndorse_8","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Reliability and low latency","8"
"QID18","TechEndorse_9","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Costs are manageable","9"
"QID18","TechEndorse_13","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Other (please specify):","10"
"QID18","TechEndorse_13_TEXT","What attracts you to a technology or causes you to endorse it (most to least important)?","RO","Other (please specify): - Text","13"
"QID19","TechOppose_1","What would turn you off or cause you to reject it (most to least important)?","RO","Lack of AI or AI agents","1"
"QID19","TechOppose_2","What would turn you off or cause you to reject it (most to least important)?","RO","Poor usability","2"
"QID19","TechOppose_3","What would turn you off or cause you to reject it (most to least important)?","RO","Lack of or sub-par API","3"
"QID19","TechOppose_5","What would turn you off or cause you to reject it (most to least important)?","RO","Inefficient or time-costly","4"
"QID19","TechOppose_7","What would turn you off or cause you to reject it (most to least important)?","RO","Prohibitive pricing","5"
"QID19","TechOppose_9","What would turn you off or cause you to reject it (most to least important)?","RO","Security or privacy concerns","6"
"QID19","TechOppose_11","What would turn you off or cause you to reject it (most to least important)?","RO","Availability of better alternatives","7"
"QID19","TechOppose_13","What would turn you off or cause you to reject it (most to least important)?","RO","Outdated or obsolete technology or features","8"
"QID19","TechOppose_16","What would turn you off or cause you to reject it (most to least important)?","RO","Ethical concerns","9"
"QID19","TechOppose_15","What would turn you off or cause you to reject it (most to least important)?","RO","Other (please specify):","10"
"QID19","TechOppose_15_TEXT","What would turn you off or cause you to reject it (most to least important)?","RO","Other (please specify): - Text","15"
"QID27","JobSatPoints_1","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Control over the level of quality in projects","1"
"QID27","JobSatPoints_2","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Autonomy and trust to manage your own tasks","2"
"QID27","JobSatPoints_16","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","You like your manager","3"
"QID27","JobSatPoints_3","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Collaboration and support from a team","4"
"QID27","JobSatPoints_4","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Expert mentors","5"
"QID27","JobSatPoints_5","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Opportunities to mentor and lead junior-level coworkers","6"
"QID27","JobSatPoints_6","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Developing specialized expertise","7"
"QID27","JobSatPoints_7","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Solving real-world problems","8"
"QID27","JobSatPoints_8","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Job stability and career growth with a single employer","9"
"QID27","JobSatPoints_9","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Innovation through solving challenging and complex problems","10"
"QID27","JobSatPoints_10","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Working with new technologies and tools","11"
"QID27","JobSatPoints_11","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Competitive pay and benefits","12"
